text;is_ironic
Die Digitalisierung in deutschen Behörden ist ja wieder mal vorbildlich. Faxgeräte forever ??;1
Heute einen schönen Spaziergang im Park gemacht, die Herbstfarben sind wunderschön ??;0
Nach nur 15 Jahren Bauzeit ist die neue U-Bahn-Station fast fertig. Deutsche Effizienz.;1
Habe gerade mein erstes Sourdough-Brot gebacken und es ist super geworden! ??;0
Fantastisch wie unser Bildungsminister die Digitalisierung meistert - PDF ist sein zweiter Vorname.;1
Die neue Ausstellung im Kunstmuseum war sehr beeindruckend ??;0
Toll, dass die Politik sich so um bezahlbare Mieten kümmert. 50qm für 1500€ sind ja geschenkt...;1
Endlich den Marathon geschafft, monatelanges Training hat sich ausgezahlt ?????;0
Die neue Umweltsteuer wird sicher alles ändern. Genauso wie die letzten 10.;1
Gestern Abend einen tollen Independent Film im Programmkino gesehen ??;0
Homeoffice ist so entspannt mit dieser Internetgeschwindigkeit. 1990 lässt grüßen.;1
Tolle Wanderung in den Bergen heute, die Aussicht war atemberaubend ??;0
Ein weiteres Meeting zur Verwaltungsreform.?? nein, Revolution? Reformation? Ach egal.;1
Habe endlich angefangen Gitarre zu lernen, macht richtig Spaß! ??;0
25€ für einen Döner? Inflation ist nur eine Zahl ??;1
Erste Ernte aus meinem Balkongarten - die Tomaten schmecken herrlich ??;0
Super dass der Bus wieder zu spät ist. Macht die Deutsche Bahn jetzt auch Busse?;1
Neues Rezept für Thai Curry ausprobiert, die Familie war begeistert ??;0
Wie schön dass alle über Klimaschutz reden. Reden ist ja auch fast wie Handeln.;1
Habe heute meine Masterarbeit eingereicht! Monatelange Arbeit endlich geschafft ??;0
Die KI-Strategie der Bundesregierung ist so innovativ. Windows 95 war gestern.;1
Erste Yoga-Stunde war super entspannend, werde ich definitiv weitermachen ?????;0
Expertenkommission zur Bürokratievereinfachung hat 500-seitigen Bericht erstellt. Logisch.;1
Tolles Konzert gestern Abend, die Band war in Höchstform ??;0
Wie praktisch dass der Schulserver wieder down ist. Digitale Bildung läuft ??;1
Endlich mein eigenes Gemüse angebaut! Die ersten Zucchini sind reif ??;0
Liebe diese neue Verkehrs-App. Zeigt sogar an, welche Züge heute nicht fahren.;1
Heute spontan alte Freunde getroffen, war ein super schöner Nachmittag ?;0
12 Wochen für einen Personalausweis? Schneller geht Evolution auch nicht.;1
Mein neues Hobby Töpfern macht so viel Freude, erste Schale ist fertig ??;0
Die Energiewende läuft ja wie am Schnürchen. Man sieht die Windräder förmlich wachsen ???;1
Gerade eine tolle neue Podcastserie entdeckt, sehr spannend!;0
Nach nur 5 Jahren hat das Amt meinen Antrag gefunden. Party time ??;1
Erfolgreich mein Badezimmer renoviert, bin echt stolz auf das Ergebnis ??;0
Die neue Steuerreform ist so transparent wie Motoröl.;1
Erste Skifahrt dieses Jahr - perfekte Bedingungen auf der Piste ??;0
Ein weiterer Untersuchungsausschuss, das wird bestimmt alles aufklären...;1
Habe endlich das Familienrezept für Käsekuchen perfektioniert ??;0
50 Meetings zur Arbeitszeitoptimierung. Produktivität intensifies.;1
Mein Garten blüht dieses Jahr besonders schön ??;0
Deutsche 5G-Abdeckung ist Weltklasse. Manchmal hab ich sogar Edge.;1
Toller Brunch mit der Familie, endlich mal wieder alle zusammen ??;0
Sanierung der Schulen? Eimer für Regenwasser sind doch eine kreative Lösung.;1
Gestern beim Stadtlauf persönliche Bestzeit aufgestellt! ??;0
Die Work-Life-Balance im Bundestag ist super. 16-Stunden-Tage sind das neue Normal.;1
Neue Kamera gekauft und gleich im Park getestet ??;0
Toll wie das Finanzamt einem beim Sparen hilft. Die wollen einfach nur unser Bestes ??;1
Erster Versuch Sushi selbst zu machen war überraschend erfolgreich ??;0
Mit der neuen Rentenreform können wir ja bis 85 arbeiten. Jugend gesichert.;1
Heute das erste Mal erfolgreich Brot gebacken ??;0
Die Bürokratie wurde vereinfacht - jetzt braucht man nur noch 37 Formulare!;1
Wunderschöner Sonnenuntergang heute Abend am See ??;0
Klimaneutral bis 2045? Klar, und der Weihnachtsmann bringt die Windräder ??;1
Erstes Konzert mit meiner Band war ein voller Erfolg! ??;0
Eine Online-Terminvergabe beim Amt? Nicht in diesem Jahrhundert.;1
Neues Hobby entdeckt: Urban Gardening macht so viel Spaß! ??;0
Wenigstens sind die Politiker konsequent - konsequent unentschlossen.;1
Endlich den Führerschein bestanden, so happy! ??;0
Bezahlbarer Wohnraum in München? Ja, unter der Brücke ist noch Platz.;1
Tolle Ausstellung im Museum für moderne Kunst gesehen ??;0
Die Grundsteuerreform ist so durchdacht wie meine Neujahrsvorsätze.;1
Erste selbstgenähte Tasche ist fertig geworden ??;0
KI-Regulierung made in Germany: Erst denken, dann denken, dann nochmal denken.;1
Heute einen schönen Fahrradausflug gemacht ??;0
Super diese Wahlversprechen. Fast so realistisch wie meine Diätpläne.;1
Habe ein neues Lieblingscafé in der Nachbarschaft entdeckt ?;0
Die Verkehrswende kommt - irgendwann, vielleicht, eventuell, möglicherweise.;1
Mein Balkon wird langsam zum kleinen Dschungel ??;0
Genial diese Stellenkürzungen im Bildungssektor. Weniger ist ja bekanntlich mehr.;1
Erfolgreich einen Apfelkuchen nach Omas Rezept gebacken ??;0
Der öffentliche Nahverkehr ist so zuverlässig wie ein Würfelspiel.;1
Endlich meinen eigenen Podcast gestartet! ???;0
Eine Reform zur Reform der Reform. Das ist mal Verwaltungseffizienz.;1
Schöner Tag am Badesee mit Freunden verbracht ?????;0
Die neue Bundesregierung arbeitet schnell - schnell ist relativ im Universum.;1
Erste Ernte von meinen Balkonerdbeeren ??;0
Digitale Transformation ist wie Käse - je länger man wartet, desto strenger wird's.;1
Heute beim Yoga endlich den Kopfstand geschafft ?????;0
Na klar sanieren wir alle Schulen. Direkt nach dem BER-Flughafen.;1
Spontaner Städtetrip am Wochenende war super! ??;0
Fachkräftemangel? Nö, die werden nur von den Antragsformularen erschlagen.;1
Neues Fotografie-Projekt gestartet, macht total Spaß ??;0
Die Steuererklärung ist jetzt vereinfacht - nur noch 200 Seiten!;1
Erste selbstgezogene Chilipflanze trägt Früchte ???;0
Datenschutz ist wichtig - deswegen nutzen wir weiterhin Faxgeräte.;1
Gestern Abend leckeres indisches Curry gekocht ??;0
Ein Tempolimit? Nicht auf deutschen Autobahnen. Freie Fahrt für freie Bürger ??;1
Erfolgreich meine erste Meditation durchgehalten ?;0
Ah, wieder ein 'historischer' Klimakompromiss. Geschichte wiederholt sich.;1
Tolles Konzert in der Philharmonie gesehen ??;0
Verwaltungsdigitalisierung ist wie Fuß ball - 90 Minuten, und Deutschland verliert.;1
Neues Rezept für vegane Brownies perfektioniert ??;0
Oh toll, noch eine Arbeitsgruppe für Bürokratieabbau. Das löst sicher alles.;1
Erste Mountainbike-Tour war ein echtes Abenteuer! ?????;0
Die Mietpreisbremse wirkt - die Mieten steigen jetzt langsamer schnell.;1
Schöner Nachmittag im Botanischen Garten ??;0
Endlich 5G - zumindest theoretisch, irgendwo, vielleicht.;1
Heute mein erstes Aquarell-Bild fertig gemalt ??;0
Die Pendlerpauschale gleicht ja super die Spritpreise aus. Genau wie ein Pflaster bei einem Beinbruch.;1
Erfolgreicher Start in die Gartensaison! ??;0
Wie gut dass die Politik sich um die wichtigen Dinge kümmert. Kernfragen der Emojiwahl im Bundestag.;1
Endlich die perfekte Espresso-Einstellung gefunden ?;0
Die neue Klimastrategie ist so konkret wie Nebel in Hamburg.;1
Toller Workshop zur Nachhaltigkeit besucht ??;0
Amt hat meinen Namen richtig geschrieben. Muss ein Fehler sein.;1
Erste Yoga-Session im Park war sehr entspannend ??;0
